Frame,Class,Confidence,x1,y1,x2,y2
1,10ML_centrifuge_tube,0.37,2238,1334,2314,1412
1,5ML_centrifuge_tube,0.44,2298,1281,2377,1351
1,blood_tube,0.48,1026,1250,1103,1309
1,5ML_centrifuge_tube,0.52,2239,1334,2314,1407
1,blood_tube,0.66,1010,1294,1074,1363
1,blood_tube,0.69,1051,1209,1118,1272
1,blood_tube,0.74,1090,1290,1160,1361
1,10ML_centrifuge_tube,0.85,2734,1242,2800,1296
1,blood_tube,0.86,1140,1210,1205,1270
1,tube_rack_storage_cabinet,0.87,0,433,699,2138
1,10ML_centrifuge_tube,0.89,222,1143,308,1196
1,5ML_sorting_tube_rack,0.89,0,1139,550,1524
1,refrigerator_close,0.91,2285,270,2906,1042
1,dispensing_tube_rack,0.94,2053,1235,3378,1884
1,5ML_sorting_tube_rack,0.95,0,717,339,1124
1,centrifuge_close,0.95,791,527,1293,915
1,sorting_tube_rack_base,0.96,1011,1360,1453,1596
1,10ML_sorting_tube_rack,0.96,973,1217,1435,1550
1,sorting_tube_rack_base,0.98,832,1653,1376,1983
